infection_risk,stay_length,age,culture_ratio,chest_ratio,bed_count,med_school,region,nurses_per_bed,capacity_ratio,region_1,region_2,region_3,region_4
2.9,10.8,63.9,1.6,57.4,130,2,3,0.47692307692307695,0.5307692307692308,0,0,1,0
4.9,11.07,53.2,28.5,122.0,768,1,1,0.8541666666666666,0.76953125,1,0,0,0
4.0,9.2,52.2,17.5,71.1,298,1,4,0.7919463087248322,0.8187919463087249,0,0,0,1
5.4,11.18,45.7,60.5,85.8,640,1,2,0.5625,0.6234375,0,1,0,0
5.7,11.8,53.8,9.1,116.9,571,1,2,0.8213660245183888,0.7723292469352014,0,1,0,0
3.7,7.14,59.0,2.6,75.8,70,2,4,0.5,0.5285714285714286,0,0,0,1
4.4,9.66,52.1,9.9,98.3,83,2,2,1.144578313253012,0.7951807228915663,0,1,0,0
2.9,8.9,49.7,12.7,86.9,52,2,1,0.6730769230769231,0.7115384615384616,1,0,0,0
4.5,9.31,47.2,30.2,101.3,170,2,1,1.0176470588235293,0.7294117647058823,1,0,0,0
2.7,8.34,56.9,8.1,74.0,107,2,3,0.5046728971962616,0.7663551401869159,0,0,1,0
2.0,8.93,56.0,6.2,72.5,95,2,3,0.5894736842105263,0.6210526315789474,0,0,1,0
4.6,10.16,54.2,8.4,51.5,831,1,4,0.7569193742478941,0.6991576413959085,0,0,0,1
3.1,8.63,54.0,8.4,56.2,76,2,1,0.5789473684210527,0.5131578947368421,1,0,0,0
5.3,8.15,54.9,12.3,79.8,99,2,4,0.7171717171717171,0.5555555555555556,0,0,0,1
4.5,9.44,52.5,10.9,58.5,297,2,3,0.8855218855218855,0.7744107744107744,0,0,1,0
2.0,7.08,52.0,12.3,56.4,87,2,3,0.6551724137931034,0.5977011494252874,0,0,1,0
4.8,12.01,52.8,10.8,96.9,298,2,1,0.3859060402684564,0.7953020134228188,1,0,0,0
4.5,8.28,48.1,26.0,101.8,108,2,4,0.6759259259259259,0.7777777777777778,0,0,0,1
3.7,7.58,56.7,20.8,88.0,97,2,2,0.8144329896907216,0.6082474226804123,0,1,0,0
5.0,9.78,52.3,17.6,95.9,270,1,1,0.7333333333333333,0.8888888888888888,1,0,0,0
1.7,8.09,56.9,7.6,56.9,92,2,3,0.6630434782608695,0.6630434782608695,0,0,1,0
5.8,11.41,50.4,23.8,73.0,424,1,3,0.7900943396226415,0.8466981132075472,0,0,1,0
5.0,11.03,49.9,19.7,102.1,318,2,1,1.0534591194968554,0.8490566037735849,1,0,0,0
5.6,10.12,51.7,14.9,79.1,362,1,3,0.7292817679558011,0.8646408839779005,0,0,1,0
4.3,8.67,48.2,24.4,90.8,182,2,3,0.6483516483516484,0.7142857142857143,0,0,1,0
4.4,8.88,55.8,14.1,76.8,237,2,2,0.7679324894514767,0.6962025316455697,0,1,0,0
5.5,7.63,52.1,11.6,61.1,197,2,4,0.5583756345177665,0.5532994923857868,0,0,0,1
3.4,10.42,58.0,8.0,59.0,119,2,1,0.5378151260504201,0.5630252100840336,1,0,0,0
5.6,8.95,53.7,18.9,122.8,147,2,4,1.0068027210884354,0.36054421768707484,0,0,0,1
2.9,8.86,51.3,9.5,87.5,100,2,3,0.53,0.65,0,0,1,0
4.5,11.46,56.9,15.6,97.7,191,2,3,0.6910994764397905,0.8010471204188482,0,0,1,0
6.1,13.59,54.0,24.2,111.7,312,2,1,0.5416666666666666,0.8269230769230769,1,0,0,0
4.6,9.68,57.8,16.7,79.0,186,2,3,0.6935483870967742,0.8118279569892473,0,0,1,0
5.3,9.77,50.2,15.7,89.7,154,2,2,0.961038961038961,0.7987012987012987,0,1,0,0
5.6,11.48,57.6,20.3,82.0,252,2,1,0.996031746031746,0.8214285714285714,1,0,0,0
4.1,9.05,51.2,20.5,79.8,195,2,3,0.5743589743589743,0.6512820512820513,0,0,1,0
2.3,7.95,51.8,4.6,54.9,163,2,3,0.5705521472392638,0.7852760736196319,0,0,1,0
3.1,9.41,59.5,20.6,91.7,29,2,3,0.7586206896551724,0.6896551724137931,0,0,1,0
4.5,6.7,48.6,13.0,80.8,76,2,4,1.0394736842105263,0.6710526315789473,0,0,0,1
5.7,11.18,51.0,18.8,55.9,595,1,2,0.6588235294117647,0.9176470588235294,0,1,0,0
3.2,8.19,52.1,10.8,59.2,176,2,1,0.5,0.8863636363636364,1,0,0,0
4.2,9.06,52.8,6.9,75.9,134,2,2,0.9328358208955224,0.7686567164179104,0,1,0,0
4.3,8.3,57.2,6.8,83.8,167,2,3,0.3532934131736527,0.6287425149700598,0,0,1,0
4.3,9.89,45.2,11.8,108.7,190,2,1,0.5894736842105263,0.7421052631578947,1,0,0,0
4.4,10.02,49.5,8.3,93.0,265,2,2,0.7622641509433963,0.720754716981132,0,1,0,0
4.3,9.23,51.6,11.6,42.6,620,2,2,0.6774193548387096,0.6661290322580645,0,1,0,0
3.4,8.45,38.8,12.9,85.0,235,2,2,0.5276595744680851,0.6085106382978723,0,1,0,0
1.8,7.67,51.7,2.5,40.4,106,2,3,0.330188679245283,0.8773584905660378,0,0,1,0
1.6,8.82,58.2,3.8,51.7,80,2,2,0.65,0.6375,0,1,0,0
4.5,9.61,52.4,6.9,87.2,487,2,3,0.4517453798767967,0.8295687885010267,0,0,1,0
3.0,11.2,45.0,7.0,78.9,130,2,3,0.4307692307692308,0.7307692307692307,0,0,1,0
4.7,10.72,53.8,23.2,94.1,113,2,3,0.9469026548672567,0.7964601769911505,0,0,1,0
5.7,11.2,56.5,34.5,88.9,180,2,1,0.8388888888888889,0.7444444444444445,1,0,0,0
5.5,11.08,50.2,18.6,63.6,387,2,3,1.0465116279069768,0.8423772609819121,0,0,1,0
6.4,11.62,53.9,25.5,99.2,133,2,1,0.7593984962406015,0.849624060150376,1,0,0,0
7.6,11.41,61.1,16.6,97.9,535,2,3,0.5102803738317757,0.616822429906542,0,0,1,0
3.7,8.48,51.1,12.1,92.8,166,2,3,0.7108433734939759,0.8734939759036144,0,0,1,0
4.1,10.47,53.2,5.7,69.1,196,2,2,0.7806122448979592,0.8571428571428571,0,1,0,0
5.1,9.76,50.9,21.9,97.0,150,2,2,0.7066666666666667,0.98,0,1,0,0
7.8,12.07,43.7,52.4,105.3,157,2,2,0.4840764331210191,0.732484076433121,0,1,0,0
